# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	15065
#@/user_id	brainocean_emacs
a 	啊	c=20 d=0.118374 t=15065
hui bao ju da 	回報巨大	c=1 d=0.491644 t=15065
hui bei 	會被	c=1 d=8.25667e-12 t=15065
hui bu hui 	會不會	c=3 d=0.0086517 t=15065
hui bu shu zai 	會部署在	c=1 d=0.000115067 t=15065
hui can jia ma 	會參加嗎	c=1 d=0.00118265 t=15065
hui da 	回答	c=1 d=0.138069 t=15065
hui da wen ti 	回答問題	c=1 d=3.67117e-06 t=15065
hui dao 	回到	c=1 d=1.05252e-14 t=15065
hui fa 	會發	c=1 d=6.00068e-22 t=15065
hui fa xian 	會發現	c=1 d=0.0862936 t=15065
hui fang 	回訪	c=2 d=3.49825e-16 t=15065
hui fu 	回覆	c=0 d=1.0539e-06 t=15065
hui fu 	恢復	c=2 d=0.0384812 t=15065
hui fu dao 	回覆到	c=1 d=1.2405e-06 t=15065
hui fu ni 	回覆你	c=1 d=9.35125e-06 t=15065
hui fu zheng chang 	恢復正常	c=1 d=5.73273e-14 t=15065
hui gu 	回顧	c=1 d=1.08946e-08 t=15065
hui hou 	會後	c=1 d=6.69728e-20 t=15065
hui huang de 	輝煌的	c=1 d=1 t=5620
hui lai 	回來	c=0 d=4.80828e-05 t=15065
hui le 	回了	c=1 d=0.0977834 t=15065
hui long 	回籠	c=0 d=6.7217e-05 t=15065
hui long jiao 	回籠覺	c=1 d=0.000675539 t=15065
hui lv 	匯率	c=1 d=0.000452827 t=15065
hui qu 	回去	c=0 d=0.000292342 t=15065
hui rang 	會讓	c=1 d=7.00078e-12 t=15065
hui rang ni 	會讓你	c=1 d=8.96749e-13 t=15065
hui shang 	會上	c=2 d=0.0980199 t=15065
hui shi 	會是	c=2 d=1.29424e-05 t=15065
hui shou 	揮手	c=1 d=0.024234 t=15065
hui tou 	回頭	c=5 d=0.050409 t=15065
hui tou wen wen 	回頭問問	c=1 d=0.0197421 t=15065
hui wan yi dian 	會晚一點	c=1 d=0.0129715 t=15065
hui wan yi hui 	會晚一會	c=1 d=6.89303e-06 t=15065
hui xiang 	回想	c=1 d=1.46428e-16 t=15065
hui xiang 	迴響	c=1 d=1.47899e-16 t=15065
hui xin 	回信	c=0 d=0.00773047 t=15065
hui xin li mian 	回信裏面	c=1 d=0.0776922 t=15065
hui yi 	會議	c=5 d=0.544983 t=15065
hui yi an pai 	會議安排	c=1 d=7.84998e-06 t=15065
hui yi qi 	回憶起	c=0 d=2.3473e-10 t=15065
hui yi shang 	會議上	c=1 d=5.7933e-20 t=15065
hui yi shi 	會議室	c=5 d=0.00296 t=15065
hui yi shi le 	會議室了	c=1 d=6.0684e-07 t=15065
hui yi xia 	回一下	c=1 d=3.60215e-18 t=15065
hui yi zu zhi 	會議組織	c=1 d=6.45923e-06 t=15065
hui you 	會有	c=2 d=5.18366e-07 t=15065
hui you bu tong 	會有不同	c=1 d=4.4279e-05 t=15065
hui yu 	會與	c=0 d=0.1 t=5517
hui yu xia fang 	會與下方	c=1 d=1 t=5518
hui zai 	會在	c=2 d=0.340543 t=15065
hui zhao 	會找	c=1 d=2.18023e-12 t=15065
hui zhao ni de 	會找你的	c=1 d=1.82839e-11 t=15065
hui zu zhi 	會組織	c=1 d=0.000668817 t=15065
hun 	魂	c=2 d=5.12526e-12 t=15065
hun hun e e 	渾渾噩噩	c=1 d=3.40996e-20 t=15065
hun zai yi qi 	混在一起	c=0 d=4.74315e-21 t=15065
huo 	或	c=6 d=0.208045 t=15065
huo 	貨	c=0 d=0.00157384 t=15065
huo ban 	夥伴	c=0 d=6.58972e-07 t=15065
huo che zhan 	火車站	c=1 d=1.02406e-15 t=15065
huo dao lao 	活到老	c=1 d=1.71776e-12 t=15065
huo de 	活得	c=0 d=8.68147e-15 t=15065
huo de 	獲得	c=7 d=0.847894 t=15065
huo de chuan jiang 	獲得船槳	c=1 d=1.52642e-05 t=15065
huo de jie da 	獲得解答	c=1 d=7.23019e-09 t=15065
huo dong 	活動	c=6 d=0.0418952 t=15065
huo dong fan wei 	活動範圍	c=1 d=4.38384e-05 t=15065
huo dong ping tai 	活動平臺	c=1 d=0.421052 t=15065
huo dong zhong 	活動中	c=1 d=0.000125275 t=15065
huo duo huo shao 	或多或少	c=1 d=5.63088e-09 t=15065
huo jiang 	獲獎	c=2 d=4.06916e-11 t=15065
huo jiang ming dan 	獲獎名單	c=1 d=2.46212e-12 t=15065
huo qu 	獲取	c=3 d=1.34947 t=15065
huo xing 	火星	c=0 d=2.72106e-13 t=15065
huo xing zhi bo 	火星直播	c=1 d=2.7347e-12 t=15065
huo zhe 	或者	c=31 d=1.57894 t=15065
huo zhe bu hui yong 	或者不會用	c=1 d=2.94108e-15 t=15065
huo zhe dong ji bu zu 	或者動機不足	c=1 d=0.0544757 t=15065
huo zhe ke neng xu yao 	或者可能需要	c=1 d=7.37625e-09 t=15065
huo zhe ni men 	或者你們	c=1 d=5.27741e-11 t=15065
huo zhe shuo 	或者說	c=1 d=1.15463e-15 t=15065
huo zhe wo de 	或者我的	c=1 d=4.54077e-07 t=15065
ji 	即	c=16 d=0.0739031 t=15065
ji 	及	c=1 d=1 t=5687
ji 	姬	c=2 d=0.814647 t=15065
ji 	急	c=0 d=1.20798e-18 t=15065
ji 	既	c=1 d=0.161218 t=15065
ji 	機	c=1 d=0.000978001 t=15065
ji 	積	c=1 d=0.0426384 t=15065
ji 	雞	c=1 d=4.53213e-14 t=15065
ji ben 	基本	c=2 d=0.480776 t=15065
ji ben de 	基本的	c=1 d=4.0628e-22 t=15065
ji ben gong 	基本功	c=0 d=1.47392e-06 t=15065
ji ben gong neng 	基本功能	c=1 d=0.394554 t=15065
ji ben ji shu 	基本技術	c=1 d=3.23143e-05 t=15065
ji ben shang 	基本上	c=4 d=0.246597 t=15065
ji ben yi yang 	基本一樣	c=1 d=9.73289e-06 t=15065
ji bie 	級別	c=1 d=1.30814e-13 t=15065
ji bu ke shi 	機不可失	c=2 d=9.08719e-14 t=15065
ji cheng 	集成	c=11 d=0.800025 t=15065
ji chi 	雞翅	c=1 d=0.453845 t=15065
ji chu 	基礎	c=1 d=0.00134011 t=15065
ji cun zai 	即存在	c=1 d=2.16087e-06 t=15065
ji dai jie jue 	亟待解決	c=0 d=8.00856e-07 t=15065
ji dai jie jue de wen ti 	亟待解決的問題	c=1 d=8.0487e-06 t=15065
ji de 	記得	c=0 d=4.94039e-12 t=15065
ji dian 	幾點	c=1 d=1.17695e-06 t=15065
ji dian kai shi 	幾點開始	c=1 d=4.28959e-14 t=15065
ji ding he 	機頂盒	c=2 d=0.66034 t=15065
ji du 	季度	c=1 d=3.2825e-13 t=15065
ji fa 	激發	c=1 d=0.0371577 t=15065
ji fa diao dong 	激發調動	c=1 d=2.32394e-09 t=15065
ji fa xing qu 	激發興趣	c=1 d=0.373439 t=15065
ji fen zhong 	幾分鐘	c=1 d=7.05288e-11 t=15065
ji feng bao yu 	疾風暴雨	c=1 d=3.41879e-21 t=15065
ji ge 	幾個	c=2 d=0.632481 t=15065
ji ge shi chen 	幾個時辰	c=1 d=1 t=5653
ji ge yue 	幾個月	c=1 d=1.01809e-05 t=15065
ji he 	幾何	c=0 d=9.4713e-10 t=15065
ji he 	集合	c=2 d=0.114838 t=15065
ji hua 	計劃	c=14 d=1.57244 t=15065
ji hua 	計畫	c=1 d=0.0444105 t=15065
ji hua biao 	計劃表	c=0 d=0.1 t=5161
ji hua can jia 	計劃參加	c=1 d=0.000127806 t=15065
ji hua de 	計劃的	c=1 d=0.878095 t=15065
ji hua wai 	計劃外	c=1 d=0.0968105 t=15065
ji hui 	機會	c=0 d=0.0701251 t=15065
ji ji 	積極	c=2 d=0.010889 t=15065
ji ji can jia 	積極參加	c=2 d=0.366045 t=15065
ji ji can yu 	積極參與	c=5 d=0.362406 t=15065
ji ji tui jian 	積極推薦	c=1 d=1.60632e-17 t=15065
ji ji zhu dong 	積極主動	c=1 d=1.5037e-05 t=15065
ji jiang 	即將	c=2 d=7.59831e-05 t=15065
ji jing 	即景	c=0 d=0.1 t=5566
ji ke 	即可	c=0 d=2.08655e-07 t=15065
ji ke de dao 	即可得到	c=1 d=2.09701e-06 t=15065
ji ke yi 	即可以	c=0 d=0.0349938 t=15065
ji ke yi yong 	即可以用	c=1 d=0.351692 t=15065
ji lei 	積累	c=2 d=0.548812 t=15065
ji li 	激勵	c=1 d=0.073944 t=15065
ji lie 	激烈	c=0 d=0.1 t=5789
ji lu 	記錄	c=2 d=0.00478349 t=15065
ji lu suo you 	記錄所有	c=1 d=3.29727e-07 t=15065
ji lv 	機率	c=1 d=1 t=5843
ji neng 	技能	c=5 d=1.38546 t=15065
ji neng 	既能	c=1 d=0.0186856 t=15065
ji neng pei xun 	技能培訓	c=1 d=0.0169922 t=15065
ji neng shui ping de mu biao 	技能水平的目標	c=1 d=0.852144 t=15065
ji neng ti gao ben shen dai lai de 	技能提高本身帶來的	c=1 d=0.264477 t=15065
ji qi 	及其	c=0 d=2.51664e-06 t=15065
ji qi 	機器	c=2 d=0.0147113 t=15065
ji qi bi jiao 	及其比較	c=1 d=2.52926e-05 t=15065
ji qi ma 	機器嗎	c=1 d=0.0128424 t=15065
ji qi shang 	機器上	c=1 d=0.00065886 t=15065
ji qi shang ma 	機器上馬	c=1 d=6.2123e-18 t=15065
ji qian ge 	幾千個	c=0 d=0.0123687 t=15065
ji qian ge xiao shi 	幾千個小時	c=1 d=0.124307 t=15065
ji qiao 	技巧	c=1 d=0.0928766 t=15065
ji rou 	肌肉	c=1 d=1.37615e-21 t=15065
ji ru 	計入	c=2 d=0.000169012 t=15065
ji ru shou ru 	計入收入	c=1 d=7.86896e-05 t=15065
ji shi 	即使	c=1 d=3.93736e-07 t=15065
ji shi 	及時	c=5 d=0.138586 t=15065
ji shi 	紀實	c=0 d=0.1 t=5719
ji shi cai liao 	紀實材料	c=1 d=1 t=5720
ji shi jian zhi 	及時剪枝	c=1 d=4.0468e-05 t=15065
ji shi pi fu 	及時批覆	c=1 d=2.98299e-05 t=15065
ji shi shi 	即使是	c=1 d=3.81502e-17 t=15065
ji shou ge 	幾首歌	c=0 d=6.16431e-16 t=15065
ji shu 	技術	c=11 d=1.89591 t=15065
ji shu 	計數	c=1 d=8.31984e-14 t=15065
ji shu de 	技術的	c=3 d=0.451581 t=15065
ji shu fang mian 	技術方面	c=1 d=0.0502874 t=15065
ji shu fang mian de 	技術方面的	c=1 d=8.53014e-13 t=15065
ji shu fen xiang hui 	技術分享會	c=2 d=0.196105 t=15065
ji shu gong zuo 	技術工作	c=1 d=0.0023461 t=15065
ji shu shang de shi qing 	技術上的事情	c=1 d=8.7747e-22 t=15065
ji shu ti xi 	計數體系	c=1 d=7.00197e-14 t=15065
ji shu wen dang 	技術文檔	c=2 d=0.0256044 t=15065
ji shu zhu yao you san lei 	技術主要有三類	c=1 d=1 t=5494
ji shui 	計稅	c=2 d=8.68796e-13 t=15065
ji suan 	計算	c=8 d=0.588605 t=15065
ji suan chu lai 	計算出來	c=1 d=8.70543e-17 t=15065
ji suan cuo wu 	計算錯誤	c=1 d=1.38809e-05 t=15065
ji suan de 	計算的	c=1 d=4.15998e-06 t=15065
ji suan ji 	計算機	c=3 d=0.756754 t=15065
ji suan lian xi chu cuo fen xi 	計算練習出錯分析	c=1 d=1.43036e-05 t=15065
ji suan liang 	計算量	c=1 d=8.08904e-06 t=15065
ji suan neng li 	計算能力	c=4 d=0.532592 t=15065
ji suan ti 	計算題	c=2 d=0.134973 t=15065
ji suan ti xi 	計算體系	c=1 d=6.89772e-14 t=15065
ji suan xiang guan 	計算相關	c=1 d=8.17034e-06 t=15065
ji suan xun lian 	計算訓練	c=2 d=2.58035e-05 t=15065
ji sui 	幾歲	c=1 d=9.59941e-20 t=15065
ji ti 	集體	c=1 d=0.000678925 t=15065
ji ti zhao 	集體照	c=2 d=4.61238e-07 t=15065
ji tian 	幾天	c=2 d=0.0471227 t=15065
ji tian jia 	幾天假	c=1 d=0.0689068 t=15065
ji tuan 	集團	c=0 d=1.00344e-12 t=15065
ji tuan zuo zhan 	集團作戰	c=1 d=1.00847e-11 t=15065
ji wei 	計位	c=1 d=6.29975e-06 t=15065
ji xian 	極限	c=1 d=0.0547488 t=15065
ji xiang 	吉祥	c=0 d=1.59364e-13 t=15065
ji xiang hua 	吉祥話	c=1 d=1.60163e-12 t=15065
ji xiao 	績效	c=1 d=2.15529e-06 t=15065
ji xing 	極性	c=0 d=0.197531 t=5523
ji xing xiang tong 	極性相同	c=1 d=1 t=5519
ji xu 	繼續	c=5 d=0.895834 t=15065
ji xu bi yan 	繼續閉眼	c=1 d=7.37374e-05 t=15065
ji xu ma 	繼續嗎	c=1 d=1.9132e-15 t=15065
ji xu nu li 	繼續努力	c=1 d=0.00285124 t=15065
ji xu qian jin 	繼續前進	c=0 d=0.0238115 t=15065
ji xu tui jin 	繼續推進	c=1 d=0.00150344 t=15065
ji xu wen 	記敘文	c=1 d=3.78362e-08 t=15065
ji xu zhe 	繼續着	c=1 d=1.47162e-16 t=15065
ji yi 	記憶	c=1 d=0.0918512 t=15065
ji yi li 	記憶力	c=1 d=2.33559e-09 t=15065
ji yin 	基因	c=1 d=0.833485 t=15065
ji yin ye shi lei si 	基因也是類似	c=1 d=0.588605 t=15065
ji yu 	基於	c=3 d=0.399001 t=15065
ji yue 	既約	c=5 d=2.84016e-06 t=15065
ji yue fen 	幾月份	c=0 d=2.2685e-20 t=15065
ji yue fen kai shi 	幾月份開始	c=1 d=2.27987e-19 t=15065
ji yue fen shu 	既約分數	c=2 d=2.45041e-07 t=15065
ji yue zhen fen shu 	既約真分數	c=6 d=7.92477e-07 t=15065
ji zai 	記在	c=0 d=5.01747e-06 t=15065
ji zai zhi shang 	記在紙上	c=1 d=5.04262e-05 t=15065
ji zao 	及早	c=1 d=0.000322309 t=15065
ji zao 	急躁	c=0 d=0.000105946 t=15065
ji zhang 	幾張	c=1 d=5.60566e-15 t=15065
ji zhi 	機制	c=1 d=7.94804e-05 t=15065
ji zhong 	集中	c=1 d=7.94804e-06 t=15065
ji zhong shi 	集中式	c=1 d=1.34217e-21 t=15065
ji zhu 	記住	c=2 d=0.00134683 t=15065
ji zuo 	記作	c=2 d=2.75791e-05 t=15065
jia 	假	c=2 d=0.0747373 t=15065
jia 	加	c=1 d=0.416916 t=15065
jia 	家	c=3 d=0.389949 t=15065
jia ban 	加班	c=1 d=6.14421e-07 t=15065
jia bi 	架筆	c=1 d=3.68005e-05 t=15065
jia bu shang 	加不上	c=1 d=0.0104621 t=15065
jia cuo 	加錯	c=1 d=1.32039e-05 t=15065
jia dao 	加到	c=1 d=6.88226e-17 t=15065
jia dian 	加電	c=2 d=1.96561 t=5481
jia ding 	假定	c=1 d=0.000149981 t=15065
jia er ge da 	加爾各答	c=4 d=0.624258 t=15065
jia fa 	加法	c=2 d=3.00029e-06 t=15065
jia ge 	價格	c=0 d=1.17979e-05 t=15065
jia ge shang sheng zhi hou 	價格上升之後	c=1 d=0.000118571 t=15065
jia gou 	架構	c=3 d=0.909003 t=15065
jia hui lai 	加回來	c=1 d=1.86469e-07 t=15065
jia kuai 	加快	c=1 d=0.0965605 t=15065
jia kuai le 	加快了	c=0 d=0.1 t=5609
jia kuai le tai yang che 	加快了太陽車	c=1 d=1 t=5610
jia kuai su du 	加快速度	c=2 d=0.970446 t=15065
jia kuai su du le ha 	加快速度了哈	c=1 d=1.17775e-13 t=15065
jia le 	加了	c=0 d=0.00338776 t=15065
jia le yi ge 	加了一個	c=1 d=0.00606634 t=15065
jia li 	家裏	c=0 d=2.67408e-14 t=15065
jia li xia yu ma 	家裏下雨嗎	c=1 d=2.68749e-13 t=15065
jia ma 	加碼	c=0 d=0.1 t=5713
jia mi 	加密	c=0 d=0.0013912 t=15065
jia ni 	加你	c=0 d=8.9167e-06 t=15065
jia nian hua 	嘉年華	c=4 d=0.225239 t=15065
jia ping ao 	賈平凹	c=1 d=2.97114e-17 t=15065
jia qiang 	加強	c=4 d=0.147349 t=15065
jia qiang lian xi cong er 	加強練習從而	c=1 d=1.00796e-05 t=15065
jia ren 	家人	c=0 d=0.0472367 t=15065
jia ru 	假如	c=0 d=2.64199e-19 t=15065
jia ru 	加入	c=1 d=2.25488e-07 t=15065
jia ru dao 	加入到	c=0 d=3.18603e-16 t=15065
jia ru gei wo san tian guang ming 	假如給我三天光明	c=1 d=2.65523e-18 t=15065
jia ru jin qu ba 	加入進去吧	c=1 d=9.01398e-15 t=15065
jia shang 	加上	c=2 d=0.000143359 t=15065
jia shang qu 	加上去	c=0 d=0.000606634 t=15065
jia she 	假設	c=2 d=0.00328184 t=15065
jia shen 	加深	c=1 d=0.000411789 t=15065
jia su 	加速	c=1 d=1.14057e-18 t=15065
jia xiang 	假想	c=0 d=0.1 t=5510
jia yi 	加一	c=0 d=4.69666e-15 t=15065
jia yi 	加以	c=0 d=3.28139e-10 t=15065
jia yi kao lv 	加以考慮	c=1 d=3.88979e-09 t=15065
jia yi ye 	加一頁	c=1 d=4.5212e-15 t=15065
jia yong 	家用	c=4 d=0.170322 t=15065
jia yong xiao du xiang 	家用消毒箱	c=2 d=0.107634 t=15065
jia you 	加油	c=14 d=0.0735345 t=15065
jia you jia you 	加油加油	c=1 d=2.79042e-14 t=15065
jia zhe 	夾着	c=1 d=1.53167e-16 t=15065
jia zhi 	價值	c=1 d=0.00151452 t=15065
jia zhi guan 	價值觀	c=0 d=0.0323033 t=15065
jian 	建	c=0 d=2.46379e-21 t=15065
jian 	見	c=0 d=6.09778e-06 t=15065
jian 	間	c=1 d=0.000357992 t=15065
jian bang 	肩膀	c=0 d=1.73561e-17 t=15065
jian ce 	檢測	c=2 d=8.29511e-19 t=15065
jian cha 	檢查	c=9 d=4.8443e-05 t=15065
jian cha wan 	檢查完	c=1 d=1.73951e-13 t=15065
jian cha yi ban 	檢查一半	c=1 d=1.6881e-13 t=15065
jian cha yi xie 	檢查一些	c=1 d=8.02929e-07 t=15065
jian chi 	堅持	c=0 d=0.0188247 t=15065
jian dan 	簡單	c=2 d=0.0110491 t=15065
jian dan kou suan 	簡單口算	c=2 d=2.68761e-05 t=15065
jian dan ru men jie shao 	簡單入門介紹	c=1 d=1.88049e-18 t=15065
jian dao 	減到	c=1 d=0.509156 t=15065
jian duan 	簡短	c=2 d=1.72103e-06 t=15065
jian duan shuo ming 	簡短說明	c=1 d=1.72966e-05 t=15065
jian fa 	減法	c=1 d=5.93288e-06 t=15065
jian fu jian 	見附件	c=1 d=6.12835e-05 t=15065
jian ge 	間隔	c=1 d=9.63604e-06 t=15065
jian guan 	監管	c=1 d=5.54516e-05 t=15065
jian hua 	簡化	c=4 d=0.127454 t=15065
jian ji 	簡記	c=0 d=4.16069e-09 t=15065
jian ji fu hao 	簡記符號	c=2 d=9.11321e-08 t=15065
jian jian de 	漸漸的	c=1 d=1 t=5603
jian jie 	簡介	c=1 d=0.329559 t=15065
jian jin 	漸進	c=0 d=1.38163e-10 t=15065
jian jin yue du 	漸進閱讀	c=1 d=1.38856e-09 t=15065
jian kang 	健康	c=4 d=0.0257947 t=15065
jian kong 	監控	c=1 d=0.000380129 t=15065
jian li 	建立	c=2 d=0.301178 t=15065
jian li 	簡歷	c=11 d=0.93718 t=15065
jian li gao zhi liang 	建立高質量	c=1 d=0.0911727 t=15065
jian li gao zhi liang de xin li biao zheng 	建立高質量的心理表徵	c=1 d=0.0735345 t=15065
jian li le 	建立了	c=0 d=3.45738e-07 t=15065
jian li lian xi 	建立練習	c=1 d=1 t=5364
jian men 	劍門	c=1 d=0.00501661 t=15065
jian men shan 	劍門山	c=1 d=0.00499159 t=15065
jian mian 	見面	c=0 d=2.62836e-17 t=15065
jian ming 	簡明	c=1 d=1 t=5277
jian mo 	建模	c=1 d=0.0623495 t=15065
jian qu 	減去	c=0 d=0.0465334 t=15065
jian rong 	兼容	c=0 d=0.000267181 t=15065
jian rong xing 	兼容性	c=0 d=4.16565e-23 t=15065
jian rong xing ce shi 	兼容性測試	c=2 d=8.39403e-22 t=15065
jian shao 	減少	c=0 d=1.01301e-06 t=15065
jian shao chu cuo 	減少出錯	c=1 d=1.01809e-05 t=15065
jian shao le 	減少了	c=1 d=0.000127806 t=15065
jian she 	建設	c=1 d=0.0174224 t=15065
jian she xing 	建設性	c=0 d=0.0331211 t=15065
jian suo 	檢索	c=0 d=1.842e-11 t=15065
jian wai 	劍外	c=3 d=0.0140172 t=15065
jian xie 	簡寫	c=0 d=2.78947e-11 t=15065
jian xie cheng 	簡寫成	c=1 d=2.80345e-10 t=15065
jian xin 	艱辛	c=0 d=0.0486752 t=15065
jian xiu 	檢修	c=1 d=4.4501e-05 t=15065
jian yi 	建一	c=0 d=2.52969e-08 t=15065
jian yi 	建議	c=10 d=0.138177 t=15065
jian yi de 	建議的	c=1 d=0.00392653 t=15065
jian yi de fang an 	建議的方案	c=1 d=0.00786762 t=15065
jian zhang 	簡章	c=1 d=1.61327e-09 t=15065
jian zhi 	剪枝	c=0 d=4.02661e-06 t=15065
jiang 	將	c=3 d=0.514274 t=15065
jiang 	講	c=5 d=0.245367 t=15065
jiang bu dao 	講不到	c=1 d=1.48615e-14 t=15065
jiang dao 	講到	c=0 d=9.91399e-18 t=15065
jiang di 	降低	c=0 d=1.02319e-06 t=15065
jiang du 	江都	c=0 d=0.00352602 t=15065
jiang du qu 	江都區	c=2 d=0.035437 t=15065
jiang du qu qi ye 	江都區企業	c=1 d=0.191092 t=15065
jiang hua 	講話	c=1 d=8.38573e-18 t=15065
jiang hui 	將會	c=1 d=2.68283e-22 t=15065
jiang jie 	講解	c=1 d=0.0275983 t=15065
jiang jie yi xia 	講解一下	c=1 d=0.00226541 t=15065
jiang jin 	獎金	c=4 d=1.7197e-10 t=15065
jiang lai 	將來	c=8 d=2.85195 t=15065
jiang lai fa zhan fang xiang 	將來發展方向	c=1 d=1 t=5731
jiang le 	講了	c=1 d=1.69305e-18 t=15065
jiang li 	獎勵	c=1 d=1.14216e-06 t=15065
jiang pin 	獎品	c=1 d=2.08939e-22 t=15065
jiang qi 	將其	c=1 d=1.93111e-07 t=15065
jiang su 	江蘇	c=0 d=5.57296e-06 t=15065
jiang su zheng fu 	江蘇政府	c=1 d=5.60089e-05 t=15065
jiang ta men 	將它們	c=1 d=3.20037e-09 t=15065
jiang ti mu de 	將題目的	c=1 d=2.88137e-09 t=15065
jiang wan 	講完	c=1 d=5.45314e-14 t=15065
jiang xia lai 	降下來	c=1 d=0.163654 t=15065
jiang xiang 	獎項	c=2 d=0.0012684 t=15065
jiang xiang ming cheng 	獎項名稱	c=1 d=1.11723e-10 t=15065
jiang yao 	將要	c=0 d=0.1 t=5617
jiang yao jin xing 	將要進行	c=1 d=1 t=5618
jiang yi xia 	講一下	c=1 d=0.00532682 t=15065
jiang zuo 	講座	c=1 d=7.36347e-18 t=15065
jiao 	交	c=1 d=0.0713613 t=15065
jiao 	叫	c=0 d=2.11109e-19 t=15065
jiao 	教	c=1 d=0.0321422 t=15065
jiao 	覺	c=0 d=6.7217e-05 t=15065
jiao ben 	腳本	c=5 d=0.0268349 t=15065
jiao bu 	腳步	c=0 d=0.0239309 t=15065
jiao cai 	教材	c=0 d=1.38856e-10 t=15065
jiao cheng 	教程	c=2 d=0.463013 t=15065
jiao cheng li mian 	教程裏面	c=1 d=0.00402593 t=15065
jiao da 	交大	c=1 d=0.00245549 t=15065
jiao da 	較大	c=1 d=0.00246639 t=15065
jiao da de 	較大的	c=0 d=0.0562705 t=15065
jiao da zhi xing 	交大之星	c=1 d=1.40204e-05 t=15065
jiao dai 	膠帶	c=0 d=1.98168e-18 t=15065
jiao dao 	交到	c=1 d=0.0672055 t=15065
jiao du 	角度	c=5 d=0.180104 t=15065
jiao duo 	較多	c=2 d=0.000596593 t=15065
jiao fu 	交付	c=0 d=4.56812e-06 t=15065
jiao fu fang shi 	交付方式	c=2 d=0.0648947 t=15065
jiao fu wu 	交付物	c=5 d=0.102085 t=15065
jiao gei 	交給	c=0 d=0.000295974 t=15065
jiao gei wo men 	交給我們	c=1 d=0.000934966 t=15065
jiao guo 	交過	c=0 d=3.91027e-14 t=15065
jiao hai zi yi xie 	教孩子一些	c=1 d=0.323033 t=15065
jiao hao 	較好	c=1 d=0.000237581 t=15065
jiao hu 	交互	c=1 d=0.00013776 t=15065
jiao huan lv 	交換律	c=1 d=1.6169e-06 t=15065
jiao lao 	較老	c=1 d=0.0137049 t=15065
jiao lian 	教練	c=0 d=0.00518189 t=15065
jiao liu 	交流	c=0 d=5.28747e-05 t=15065
jiao lv 	焦慮	c=5 d=0.000685748 t=15065
jiao ru 	膠乳	c=1 d=1 t=5811
jiao sha 	叫啥	c=1 d=0.154124 t=15065
jiao shang 	叫上	c=1 d=6.82444e-06 t=15065
jiao shen me ming zi 	叫什麼名字	c=1 d=1.05288e-18 t=15065
jiao tong gong ju 	交通工具	c=1 d=0.0210136 t=15065
jiao tong yun shu 	交通運輸	c=1 d=0.172045 t=15065
jiao xiao 	較小	c=1 d=2.88785e-06 t=15065
jiao xue 	教學	c=1 d=3.38892e-07 t=15065
jiao xue fa 	教學法	c=0 d=0.083527 t=15065
jiao xun 	教訓	c=0 d=2.80393e-13 t=15065
jiao xun le ba 	教訓了吧	c=1 d=2.81798e-12 t=15065
jiao yu 	教育	c=3 d=0.83527 t=15065
jiao yu ju 	教育局	c=1 d=5.38677e-17 t=15065
jiao yu yu xue xi 	教育與學習	c=1 d=1.73473e-10 t=15065
jiao zhen 	較真	c=2 d=1.95297e-14 t=15065
jiao zi 	餃子	c=1 d=1.14019e-14 t=15065
jiao zuo 	叫做	c=1 d=0.00887071 t=15065
jie 	屆	c=1 d=2.38935e-12 t=15065
jie 	接	c=4 d=3.64378e-11 t=15065
jie 	結	c=1 d=1.56506e-05 t=15065
jie 	解	c=1 d=9.83907e-16 t=15065
jie chi 	劫持	c=1 d=1.32881e-21 t=15065
jie chu 	傑出	c=1 d=0.179586 t=15065
jie chu 	接觸	c=0 d=0.0125407 t=15065
jie chu ren wu de pei yang 	傑出任務的培養	c=1 d=0.308819 t=15065
jie da 	解答	c=2 d=2.91136e-08 t=15065
jie da zhong 	解答中	c=1 d=1.19803e-08 t=15065
jie dao 	接到	c=1 d=4.35516e-16 t=15065
jie di qi 	接地氣	c=1 d=4.54618e-21 t=15065
jie dian hua 	接電話	c=0 d=9.42663e-05 t=15065
jie duan 	階段	c=2 d=0.552688 t=15065
jie er lian san 	接二連三	c=1 d=4.81238e-14 t=15065
jie fa 	解法	c=1 d=4.89e-06 t=15065
jie fu 	姐夫	c=1 d=0.410656 t=15065
jie gou 	結構	c=3 d=0.955997 t=15065
jie gou 	解構	c=4 d=0.607246 t=15065
jie gou fang shi 	結構方式	c=1 d=0.0632918 t=15065
jie gou qing xi 	結構清晰	c=1 d=0.079659 t=15065
jie gou tu 	結構圖	c=0 d=0.0018043 t=15065
jie guo 	結果	c=11 d=0.758696 t=15065
jie guo wen jian ming 	結果文件名	c=1 d=2.56478e-22 t=15065
jie guo yi ding shi 	結果一定是	c=1 d=0.680451 t=15065
jie he 	結合	c=1 d=0.759572 t=15065
jie he lv 	結合律	c=1 d=1.625e-06 t=15065
jie jue 	解決	c=6 d=0.179997 t=15065
jie jue ban fa 	解決辦法	c=2 d=0.0263839 t=15065
jie jue diao zhi hou 	解決掉之後	c=1 d=0.00970611 t=15065
jie jue fang an 	解決方案	c=11 d=0.412714 t=15065
jie jue wen ti 	解決問題	c=2 d=0.00179994 t=15065
jie jue wen ti de 	解決問題的	c=1 d=0.00104368 t=15065
jie jue wen ti de lu jing 	解決問題的路徑	c=1 d=5.32954e-09 t=15065
